model_year,bodytype,fueltype,new_price,accel,range,mpge,refueltime_mins,cpmile,bev_energy
2028,suv,ev,39.405,4.6,338,130.776,680,3.8,87.1
2028,truck,ev,48.938,6,263,73.921,937,6.6,119.9
2028,car,hybrid,33.413,8.9,861,47.16,5,8.69380831212892,0.5
2028,suv,hybrid,43.565,7.6,953,44.4,5,9.23423423423423,1.4
2028,truck,hybrid,28.762,10.4,667,50.95,5,8.04710500490677,1.3
2028,car,phev,34.046,7.8,820,47.06,291,5.1,16
2028,suv,phev,28.874,5.9,763,35.89,487,5.5,26.8
2028,truck,phev,32.219,7.6,829,37.02,315,6.5,17.3
2029,car,conv,25.72,8.2,560,31.52,5,13.007614213198,0
2029,suv,conv,33.825,7.2,511,23.62,5,17.3581710414903,0
2029,truck,conv,32.82,7.2,555,18.96,5,21.6244725738397,0
2029,van,conv,22.95,10.3,480,29.41,5,13.940836450187,0
2029,car,ev,29.808,4.2,353,153.895,604,3.2,77.3
2029,suv,ev,38.727,4.6,338,130.776,680,3.8,87.1
2029,truck,ev,37.11,6.7,261,73.359,937,6.7,119.9
2029,car,hybrid,33.387,8.8,861,47.16,5,8.69380831212892,0.5
2029,suv,hybrid,43.495,7.6,953,44.42,5,9.23007654209815,1.4
2029,truck,hybrid,28.708,10.4,667,50.96,5,8.04552590266876,1.3
2029,car,phev,33.826,7.8,820,47.2,291,5.1,16
2029,suv,phev,28.575,5.9,763,36,487,5.5,26.8
2029,truck,phev,31.987,7.6,829,37.1,315,6.5,17.3
2030,car,conv,25.72,8.2,560,31.87,5,12.8647631000941,0
2030,suv,conv,34.97,7,572,23.36,5,17.5513698630137,0
2030,truck,conv,32.82,7.2,555,19.18,5,21.3764337851929,0
2030,van,conv,22.95,10.3,480,29.74,5,13.7861466039005,0
2030,car,ev,29.197,4.1,353,153.895,604,3.2,77.3
2030,suv,ev,38.048,4.6,338,130.776,680,3.7,87.1
2030,truck,ev,37.395,5.3,272,76.45,937,6.4,119.9
2030,car,hybrid,33.587,9.2,725,48.83,5,8.39647757526111,1.4
2030,suv,hybrid,43.425,7.6,953,44.44,5,9.22592259225923,1.4
2030,truck,hybrid,28.654,10.4,667,50.98,5,8.0423695566889,1.3
2030,car,phev,33.607,7.8,820,47.32,291,5.2,16
2030,suv,phev,28.276,5.9,763,36.1,487,5.5,26.8
2030,truck,phev,31.756,7.6,829,37.16,315,6.6,17.3
2031,car,conv,25.72,8.2,560,32.22,5,12.7250155183116,0
2031,suv,conv,34.97,7,572,23.62,5,17.3581710414903,0
2031,truck,conv,32.82,7.2,555,19.39,5,21.1449200618876,0
2031,van,conv,22.95,10.3,480,30.07,5,13.6348520119721,0
2031,car,ev,29.015,4.1,353,153.895,604,3.2,77.3
2031,suv,ev,37.847,4.6,338,130.776,680,3.7,87.1
2031,truck,ev,37.135,5.3,272,76.45,937,6.4,119.9
2031,car,hybrid,33.561,9.2,725,49.32,5,8.31305758313057,1.4
2031,suv,hybrid,38.031,8.9,737,45.74,5,8.96370791429821,1.6
2031,truck,hybrid,28.63,10.4,667,51.49,5,7.96271120605943,1.3
2031,car,phev,33.535,7.8,820,47.82,291,5.3,16
2031,suv,phev,28.181,5.9,763,36.45,487,5.6,26.8
2031,truck,phev,31.68,7.6,829,37.55,315,6.7,17.3
2032,car,conv,25.72,8.2,560,32.58,5,12.5844076120319,0
2032,suv,conv,34.97,7,572,23.88,5,17.1691792294807,0
2032,truck,conv,32.82,7.2,555,19.6,5,20.9183673469388,0
2032,van,conv,22.95,10.3,480,30.4,5,13.4868421052632,0
2032,car,ev,28.833,4.1,353,153.895,604,3.2,77.3
2032,suv,ev,38.936,4.4,374,128.61,766,3.8,98
2032,truck,ev,36.874,5.3,272,76.45,937,6.4,119.9
2032,car,hybrid,33.535,9.2,725,49.8,5,8.23293172690763,1.4
2032,suv,hybrid,43.365,7.6,953,45.33,5,9.04478270461063,1.4
2032,truck,hybrid,28.607,10.4,667,51.99,5,7.88613194845163,1.3
2032,car,phev,33.463,7.8,820,48.32,291,5.3,16
2032,suv,phev,28.086,5.9,763,36.8,487,5.6,26.8
2032,truck,phev,31.605,7.6,829,37.93,315,6.7,17.3
2033,car,conv,24.76,8.1,606,34.09,5,12.0269873863303,0
2033,suv,conv,33.825,7.2,511,24.69,5,16.6059133252329,0
2033,truck,conv,32.82,7.2,555,19.82,5,20.686175580222,0
2033,van,conv,22.95,10.3,480,30.73,5,13.3420110641067,0
2033,car,ev,28.651,4.1,353,153.895,604,3.2,77.3
2033,suv,ev,38.715,4.4,374,128.61,766,3.8,98
2033,truck,ev,36.613,5.3,272,76.45,937,6.5,119.9
2033,car,hybrid,33.315,8.8,861,48.57,5,8.4414247477867,0.5
2033,suv,hybrid,37.977,8.9,737,46.64,5,8.79073756432247,1.6
2033,truck,hybrid,28.583,10.4,667,52.5,5,7.80952380952381,1.3
2033,car,phev,36.291,6.2,189,47.37,400,4.2,22
2033,suv,phev,27.991,5.9,763,37.15,487,5.6,26.8
2033,truck,phev,31.529,7.6,829,38.31,315,6.7,17.3
2034,car,conv,24.76,8.1,606,34.47,5,11.8944009283435,0
2034,suv,conv,33.825,7.2,511,24.96,5,16.426282051282,0
2034,truck,conv,32.82,7.2,555,20.03,5,20.4692960559161,0
2034,van,conv,22.95,10.3,480,31.07,5,13.1960090119086,0
2034,car,ev,28.469,4.1,353,153.895,604,3.2,77.3
2034,suv,ev,38.495,4.4,374,128.61,766,3.9,98
2034,truck,ev,36.352,5.3,272,76.45,937,6.5,119.9
2034,car,hybrid,33.299,8.8,861,49.04,5,8.3605220228385,0.5
2034,suv,hybrid,37.95,8.9,737,47.09,5,8.706731790189,1.6
2034,truck,hybrid,28.559,10.4,667,53.01,5,7.73438973778532,1.3
2034,car,phev,42.289,5.3,631,41.25,442,5.5,24.3
2034,suv,phev,27.896,5.9,763,37.51,487,5.6,26.8
2034,truck,phev,31.454,7.6,829,38.69,315,6.7,17.3
2035,car,conv,24.76,8.1,606,34.84,5,11.7680826636051,0
2035,suv,conv,33.825,7.2,511,25.23,5,16.2504954419342,0
2035,truck,conv,32.82,7.2,555,20.25,5,20.2469135802469,0
2035,van,conv,22.95,10.3,480,31.4,5,13.0573248407643,0
2035,car,ev,28.287,4.1,353,153.895,604,3.2,77.3
2035,suv,ev,38.274,4.4,374,128.61,766,3.8,98
2035,truck,ev,36.091,5.3,272,76.45,937,6.5,119.9
2035,car,hybrid,33.456,9.2,725,51.26,5,7.99843932891143,1.4
2035,suv,hybrid,37.923,8.9,737,47.54,5,8.62431636516618,1.6
2035,truck,hybrid,28.536,10.4,667,53.52,5,7.66068759342302,1.3
2035,car,phev,41.516,6.5,596,38.46,487,5.4,26.8
2035,suv,phev,27.801,5.9,763,37.86,487,5.6,26.8
2035,truck,phev,31.378,7.6,829,39.07,315,6.7,17.3
2036,car,conv,24.76,8.1,606,34.96,5,11.7276887871854,0
2036,suv,conv,33.825,7.2,511,25.32,5,16.1927330173776,0
2036,truck,conv,35.034,7.1,546,21.75,5,18.8505747126437,0
2036,van,conv,22.95,10.3,480,31.52,5,13.007614213198,0
2036,car,ev,28.105,4.1,353,153.895,604,3.2,77.3
2036,suv,ev,38.053,4.4,374,128.61,766,3.8,98
2036,truck,ev,35.83,5.3,272,76.45,937,6.4,119.9
2036,car,hybrid,33.43,9.2,725,51.43,5,7.97200077775617,1.4
2036,suv,hybrid,37.896,8.9,737,47.7,5,8.59538784067086,1.6
2036,truck,hybrid,28.512,10.4,667,53.69,5,7.63643136524492,1.3
2036,car,phev,41.421,6.5,596,38.58,487,5.4,26.8
2036,suv,phev,27.706,5.9,763,37.99,487,5.6,26.8
2036,truck,phev,31.303,7.6,829,39.21,315,6.7,17.3
2037,car,conv,24.76,8.1,606,35.09,5,11.6842405243659,0
2037,suv,conv,33.825,7.2,511,25.41,5,16.1353797717434,0
2037,truck,conv,35.034,7.1,546,21.83,5,18.7814933577645,0
2037,van,conv,22.95,10.3,480,31.63,5,12.9623774897249,0
2037,car,ev,27.923,4.1,353,153.895,604,3.2,77.3
2037,suv,ev,37.832,4.4,374,128.61,766,3.8,98
2037,truck,ev,35.57,5.3,272,76.45,937,6.4,119.9
2037,van,ev,31.14,5.9,309,97.503,834,5,106.8
2037,car,hybrid,33.404,9.2,725,51.59,5,7.94727660399302,1.4
2037,suv,hybrid,37.869,8.9,737,47.85,5,8.56844305120167,1.6
2037,truck,hybrid,28.488,10.4,667,53.86,5,7.61232825844783,1.3
2037,car,phev,41.326,6.5,596,38.71,487,5.4,26.8
2037,suv,phev,27.611,5.9,763,38.11,487,5.6,26.8
2037,truck,phev,31.228,7.6,829,39.34,315,6.7,17.3
2038,car,conv,24.76,8.1,606,35.21,5,11.6444191990912,0
2038,suv,conv,33.825,7.2,511,25.5,5,16.078431372549,0
2038,truck,conv,35.034,7.1,546,21.91,5,18.7129164764948,0
2038,van,conv,22.95,10.3,480,31.74,5,12.9174543163201,0
2038,car,ev,27.525,4.2,345,154.402,588,3.2,75.3
2038,suv,ev,37.612,4.4,374,128.61,766,3.8,98
2038,truck,ev,35.309,5.3,272,76.45,937,6.4,119.9
2038,van,ev,30.903,5.9,309,97.503,834,5,106.8
2038,car,hybrid,33.378,9.2,725,51.76,5,7.92117465224111,1.4
2038,suv,hybrid,37.842,8.9,737,48,5,8.54166666666667,1.6
2038,truck,hybrid,28.465,10.4,667,54.03,5,7.58837682768832,1.3
2038,car,phev,41.231,6.5,596,38.83,487,5.4,26.8
2038,suv,phev,27.516,5.9,763,38.23,487,5.6,26.8
2038,truck,phev,31.152,7.6,829,39.47,315,6.7,17.3
2039,car,conv,24.76,8.1,606,35.34,5,11.601584606678,0
2039,suv,conv,33.825,7.2,511,25.59,5,16.021883548261,0
2039,truck,conv,35.034,7.1,546,21.99,5,18.6448385629832,0
2039,van,conv,22.95,10.3,480,31.85,5,12.87284144427,0
2039,car,ev,27.392,4.2,347,154.477,591,3.2,75.7
2039,suv,ev,37.391,4.4,374,128.61,766,3.8,98
2039,truck,ev,35.048,5.3,272,76.45,937,6.4,119.9
2039,van,ev,30.666,5.9,309,97.503,834,5,106.8
