year,fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,int_volume,total_sales
2040,ev,suv,46.29,4.2,322.990914572743,133.068,668.228584149173,3.7,85.4971445532231,196.65,7500,0,162,102125.640522432
2040,ev,truck,50.6656357487968,5.82403089964778,260.864876767413,73.321013481239,937,6.70385194691933,119.9,196.65,7500,0,128,843.202490244337
2040,ev,van,40.368,5.8,318,115.481,725,4.2,92.8,196.65,7500,0,258,264.787701374624
2040,fuelcell,car,22.88456648291,8.08396340985381,442.69285399981,72.8740795659868,5,5.52436059394459,1.8,196.65,0,6,112.631394601677,3143.43722962624
2040,fuelcell,minvan,35.236134985095,10.4094773017631,464.50181869801,61.6897339266955,5,6.50631820117538,1.9,196.65,0,6,234.778862958862,832.639937423807
2040,fuelcell,suv,32.5777424844376,8.1831807200482,468.691506197054,61.907142518929,5,6.45247650212848,1.8,196.65,0,6,165.42811124743,5069.91925839788
2040,fuelcell,truck,43.963,8.1,473,43.48,5,9.2,1.8,196.65,0,6,113,211.72842187005
2040,hybrid,car,30.5996327559562,8.239167017316,771.312131198159,52.7827247748664,5,7.76769532782629,1.44894166637542,437,0,1.5,116,5062.14462185294
2040,hybrid,suv,44.2330468128824,8.25891983469567,779.117767511061,47.0687539929631,5,8.71083383108915,1.49843449967726,437,0,1.5,173.035842285975,1437.04175091564
2040,hybrid,truck,29.382,10.4,667,54.37,5,7.54092330329226,1.3,437,0,1.5,131,156.196953936023
2040,phev,car,33.1446971651697,6.49177267118985,1130.52569091085,48.4197572655972,487,4.8,26.8,275.31,7500,7.5,114.322882170771,941.130527874361
2040,phev,minvan,35.7980848791137,8.38765709640514,807.516603480451,44.170441006304,315,5.81160233051484,17.3,275.31,7500,7.5,230.468580718971,977.156458677467
2040,phev,suv,32.486,5.69039317959175,689.312743136287,38.7135257061438,487,5.4,26.8,275.31,7500,7.5,164,33525.5357424349
2040,phev,truck,35.2419860170764,8.0293920977735,262.470942240077,31.2871009107647,487,6.7176352586641,26.8,275.31,7500,7.5,126.940547128752,1040.61021227384
2041,cng,car,45.8648375411168,7.93610804119065,404.820203680906,34.029717312877,5,4.2,0,437,0,0,110.294524244146,344.789418037362
2041,cng,suv,56.3598317533809,9.97175433551188,336.74034684095,28.3300669092222,5,5.0709942193175,0,437,0,0,125.152630065356,65.9189450281174
2041,conv,car,18.957,7.6,595.218721748645,33.97,5,12.0694730644686,0,437,0,0,116,92944.5820534359
