model_year,bodytype,fueltype,new_price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,price
2027,suv,hybrid,44.463,7.6,953,44.36,5,9.24256086564472,1.4,437,18.6652204811916
2027,truck,hybrid,29.589,10.4,667,50.91,5,8.05342761736397,1.3,437,12.4212313343224
2027,car,phev,38.028,7.9,820,46.89,291,5.1,16,275.31,15.1290149964416
2027,suv,phev,33.179,5.7,769,35.9,487,5.3,26.8,275.31,13.1998945136987
2027,truck,phev,34.84,8.6,254,28.59,487,6.8,26.8,275.31,13.8607048089835
2028,car,conv,25.72,8.2,560,31.17,5,13.153673403914,0,437,12.7844187930562
2028,suv,conv,33.825,7.2,511,23.36,5,17.5513698630137,0,437,16.8131013092973
2028,truck,conv,32.82,7.2,555,18.75,5,21.8666666666667,0,437,16.3135546185111
2028,van,conv,22.95,10.3,480,29.08,5,14.0990371389271,0,437,11.407558759745
2028,car,ev,49.536,5.7,339,138.309,645,3.6,82.6,196.65,19.4669224512266
2028,suv,ev,47.722,4.6,338,130.776,680,3.8,87.1,196.65,18.7540470207008
2028,truck,ev,60.391,6,263,73.921,937,6.6,119.9,196.65,23.7327784591413
2028,car,hybrid,33.73,8.9,861,47.16,5,8.69380831212892,0.5,437,16.1087495159489
2028,suv,hybrid,44.43,7.6,953,44.4,5,9.23423423423423,1.4,437,21.2188479393303
2028,truck,hybrid,29.57,10.4,667,50.95,5,8.04710500490677,1.3,437,14.1220196616249
2028,car,phev,37.963,7.8,820,47.06,291,5.1,16,275.31,18.1092991277509
2028,suv,phev,33.094,5.7,769,36.05,487,5.3,26.8,275.31,15.7866645242417
2028,truck,phev,35.894,8,263,29.58,487,6.6,26.8,275.31,17.1223344543764
2029,car,conv,24.76,8.1,606,32.62,5,12.5689760882894,0,437,13.8751294977948
2029,suv,conv,33.825,7.2,511,23.62,5,17.3581710414903,0,437,18.9550183870319
2029,truck,conv,32.82,7.2,555,18.96,5,21.6244725738397,0,437,18.3918315879494
2029,van,conv,22.95,10.3,480,29.41,5,13.940836450187,0,437,12.8608328745716
2029,car,ev,44.319,5.7,343,137.772,655,3.6,83.9,196.65,21.5553438912092
2029,suv,ev,47.566,4.6,338,130.776,680,3.8,87.1,196.65,23.1345808237834
2029,truck,ev,60.207,6,263,73.921,937,6.6,119.9,196.65,29.2827588541717
2029,car,hybrid,33.718,8.8,861,47.16,5,8.69380831212892,0.5,437,18.3197025761616
2029,suv,hybrid,44.397,7.6,953,44.42,5,9.23007654209815,1.4,437,24.1218291498264
2029,truck,hybrid,29.551,10.4,667,50.96,5,8.04552590266876,1.3,437,16.0556833391112
2029,car,phev,37.897,7.8,820,47.2,291,5.1,16,275.31,21.6760377450812
2029,suv,phev,33.008,5.6,750,35.18,487,5.3,26.8,275.31,18.8796647198892
2029,truck,phev,35.809,8,263,29.56,487,6.6,26.8,275.31,20.4817593902845
2030,car,conv,24.76,8.1,606,32.99,5,12.4280084874204,0,437,15.64276155332
2030,suv,conv,33.825,7.2,511,23.89,5,17.1619924654667,0,437,21.369806524275
2030,truck,conv,32.82,7.2,555,19.18,5,21.3764337851929,0,437,20.73487213974
2030,van,conv,22.95,10.3,480,29.74,5,13.7861466039005,0,437,14.49924788565
2030,car,ev,44.202,5.7,325,111.76,766,4.4,98,196.65,26.606978754816
2030,suv,ev,47.41,4.6,338,130.776,680,3.7,87.1,196.65,28.53800422528
2030,truck,ev,60.023,5.9,263,73.921,937,6.6,119.9,196.65,36.130281113984
2030,car,hybrid,33.706,8.8,861,47.17,5,8.69196523213907,0.5,437,20.8341100368
2030,suv,hybrid,44.364,7.6,953,44.44,5,9.22592259225923,1.4,437,27.4219562592
2030,truck,hybrid,29.532,10.4,667,50.98,5,8.0423695566889,1.3,437,18.2541072096
2030,car,phev,37.831,7.8,820,47.32,291,5.2,16,275.31,25.945188929496
2030,suv,phev,32.923,5.6,750,35.28,487,5.4,26.8,275.31,22.579193125368
2030,truck,phev,35.723,8,263,29.55,487,6.6,26.8,275.31,24.499484130168
2031,car,conv,24.76,8.1,606,33.35,5,12.2938530734633,0,437,17.63558236
2031,suv,conv,34.97,7,572,23.62,5,17.3581710414903,0,437,24.90776717
2031,truck,conv,32.82,7.2,555,19.39,5,21.1449200618876,0,437,23.37640602
2031,van,conv,22.95,10.3,480,30.07,5,13.6348520119721,0,437,16.34638995
2031,car,ev,44.128,5.7,325,111.76,766,4.4,98,196.65,32.874300928
2031,suv,ev,47.34,4.6,338,130.776,680,3.7,87.1,196.65,35.26716384
2031,truck,ev,59.942,5.9,263,73.921,937,6.6,119.9,196.65,44.655351392
2031,car,hybrid,33.693,8.8,861,47.64,5,8.60621326616289,0.5,437,23.6929176
2031,suv,hybrid,44.344,7.6,953,44.88,5,9.13547237076649,1.4,437,31.1827008
2031,truck,hybrid,29.517,10.4,667,51.49,5,7.96271120605943,1.3,437,20.7563544
2031,car,phev,34.859,6.6,615,37.41,487,4.8,26.8,275.31,28.665392316
2031,suv,phev,32.881,5.6,750,35.61,487,5.4,26.8,275.31,27.038835444
2031,truck,phev,35.682,8,263,29.81,487,6.7,26.8,275.31,29.342164968
2032,car,conv,24.76,8.1,606,33.72,5,12.158956109134,0,437,19.88228
2032,suv,conv,34.97,7,572,23.88,5,17.1691792294807,0,437,28.08091
2032,truck,conv,32.82,7.2,555,19.6,5,20.9183673469388,0,437,26.35446
2032,van,conv,22.95,10.3,480,30.4,5,13.4868421052632,0,437,18.42885
2032,car,ev,44.055,5.7,325,111.76,766,4.4,98,196.65,40.61871
2032,suv,ev,47.27,4.6,338,130.776,680,3.8,87.1,196.65,43.58294
2032,truck,ev,48.936,6.4,261,73.359,937,6.7,119.9,196.65,45.118992
2032,car,hybrid,33.681,8.8,861,48.1,5,8.52390852390852,0.5,437,26.9448
2032,suv,hybrid,44.323,7.6,953,45.33,5,9.04478270461063,1.4,437,35.4584
2032,truck,hybrid,29.502,10.4,667,51.99,5,7.88613194845163,1.3,437,23.6016
2032,car,phev,34.818,6.6,615,37.76,487,4.8,26.8,275.31,34.330548
2032,suv,phev,32.84,5.6,750,35.95,487,5.4,26.8,275.31,32.38024
2032,truck,phev,35.64,8,263,30.08,487,6.7,26.8,275.31,35.14104
1975,van,conv,23.3742240648732,13.3634,222.1212,11.10606,5,36.9167823692651,,588,0.0201882687983698
1976,van,conv,23.3742240648732,13.3634,235.6784,11.78392,5,34.7931757853074,,588,0.0227601677546447
1977,van,conv,23.3742240648732,13.3634,250.2594,12.51297,5,32.7660019963286,,588,0.025659715619667
1978,van,conv,23.3742240648732,13.3634,241.6018,12.08009,5,33.9401444856785,,588,0.0289286534607295
1979,van,conv,23.3742240648732,15.4545,229.6922,11.48461,5,35.6999497588512,,588,0.0326140399782745
1980,van,conv,23.3742240648732,16.5199,282.7284,14.13642,5,29.0030997947146,,588,0.0367689289495766
1981,van,conv,23.3742240648732,16.5318,296.8438,14.84219,5,27.6239557639405,,588,0.0414531329758474
1982,van,conv,23.3742240648732,17.5964,294.4808,14.72404,5,27.8456184579776,,588,0.0467340845274492
1983,van,conv,23.3742240648732,15.6505,301.3294,15.06647,5,27.2127445911351,,588,0.0526878066825808
1984,van,conv,23.3742240648732,15.8726,322.2776,16.11388,5,25.4439030202533,,588,0.059400007533913
1985,van,conv,23.3742240648732,15.3213,330.9166,16.54583,5,24.7796574726079,,588,0.0669673140179402
1986,van,conv,23.3742240648732,14.7281,349.3978,17.46989,5,23.4689514358705,,588,0.0754986629289066
1987,van,conv,23.3742240648732,13.9292,353.1874,17.65937,5,23.2171362851563,,588,0.0851168691419466
1988,van,conv,23.3742240648732,13.8585,357.5562,17.87781,5,22.9334577333577,,588,0.0959603936211348
1989,van,conv,23.3742240648732,13.3943,355.9358,17.79679,5,23.0378624459804,,588,0.108185336664188
1990,van,conv,23.3742240648732,12.4758,356.8752,17.84376,5,22.9772200477926,,588,0.121967685078002
1991,van,conv,23.3742240648732,12.6888,358.2074,17.91037,5,22.8917660550843,,588,0.137505845634726
1992,van,conv,23.3742240648732,12.2324,358.4382,17.92191,5,22.8770259419894,,588,0.155023501279286
