year,fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,int_volume,total_sales
2022,conv,truck,32.82,7.2,555,17.52,5,23.4018264840183,0,437,0,0,142,16638.8373419713
2022,conv,van,22.95,10.3,480,27.16,5,15.0957290132548,0,437,0,0,286,2192.4040515053
2022,ev,car,52.314,5.7,255,122.764,547,4.4,70,196.65,7500,0,120,19748.4576859818
2022,ev,suv,43.966,5.2,268,135.001,523,4,66.9,196.65,7500,0,165,33598.4033277342
2022,hybrid,car,32.176,8.9,805,39.57,5,10.3613848875411,0.5,437,0,1.5,111,7379.38777747106
2022,hybrid,suv,44.727,7.7,953,39.71,5,10.3248552002015,1.4,437,0,1.5,181,2278.28726774987
2022,hybrid,truck,29.784,10.4,667,45.62,5,8.98728627794827,1.3,437,0,1.5,131,224.174807503716
2022,phev,car,32.437,7.7,846,42.12,315,5.2,17.3,275.31,7500,7.5,115,1655.99653488029
2022,phev,suv,33.751,6.7,889,39.02,315,6,17.3,275.31,7500,7.5,172,8153.02167801068
2022,phev,truck,36.829,7.8,829,32.68,315,7.4,17.3,275.31,7500,7.5,126,817.552405320604
2023,conv,car,26.5,7.7,620,27.83,5,14.7323032698527,0,437,0,0,117,107777.134416548
2023,conv,suv,33.825,7.2,511,22.07,5,18.5772541912098,0,437,0,0,173,81574.8427165105
2023,conv,truck,32.82,7.2,555,17.72,5,23.13769751693,0,437,0,0,142,15594.5412159738
2023,conv,van,22.95,10.3,480,27.48,5,14.919941775837,0,437,0,0,286,2000.25420227392
2023,ev,car,38.578,5,377,159.81,621,3.4,79.5,196.65,7500,0,114,20451.14483993
2023,ev,suv,45.718,4.7,335,152.561,578,3.5,74,196.65,7500,0,164,44439.1499276361
2023,hybrid,car,33.856,8.9,861,43.89,5,9.34153565732513,0.5,437,0,1.5,116,6595.62339915103
2023,hybrid,suv,44.661,7.7,953,41.23,5,9.94421537715256,1.4,437,0,1.5,181,2062.73792302266
2023,hybrid,truck,29.732,10.4,667,47.35,5,8.65892291446674,1.3,437,0,1.5,131,198.671063189227
2023,phev,car,32.335,7.6,846,43.84,315,4.9,17.3,275.31,7500,7.5,115,1818.55728119732
2023,phev,suv,33.649,6.7,889,40.6,315,5.6,17.3,275.31,7500,7.5,172,11311.4977110125
2023,phev,truck,36.728,7.7,829,33.97,315,6.9,17.3,275.31,7500,7.5,126,882.334574992129
2024,conv,car,26.5,7.7,620,28.15,5,14.5648312611012,0,437,0,0,117,112615.979834675
2024,conv,suv,33.825,7.2,511,22.33,5,18.3609493954322,0,437,0,0,173,86411.1191117204
2024,conv,truck,33.59,8.3,588,19,5,21.5789473684211,0,437,0,0,142,15578.7883477734
2024,conv,van,22.95,10.3,480,27.79,5,14.7535084562792,0,437,0,0,286,2111.65941743398
2024,ev,car,38.428,5,377,159.81,621,3.3,79.5,196.65,7500,0,114,12634.058983939
2024,ev,suv,48.739,5.5,329,92.471,937,5.7,119.9,196.65,7500,0,150,35119.1612495283
2024,hybrid,car,33.811,8.9,861,45.5,5,9.01098901098901,0.5,437,0,1.5,116,6927.08163751274
2024,hybrid,suv,44.595,7.7,953,42.77,5,9.58615852232873,1.4,437,0,1.5,181,2190.06511141929
2024,hybrid,truck,29.68,10.4,667,49.1,5,8.35030549898167,1.3,437,0,1.5,131,208.553346639897
2024,phev,car,38.259,8,820,44.7,291,5.2,16,275.31,7087,7.5,94,1762.88267275481
2024,phev,suv,33.547,6.7,889,42.22,315,5.4,17.3,275.31,7500,7.5,172,23399.9484120722
2024,phev,truck,36.626,7.7,829,35.3,315,6.6,17.3,275.31,7500,7.5,126,836.860950351409
2025,conv,car,25.72,8.2,560,30.13,5,13.6076999668105,0,437,0,0,117,125892.231206396
2025,conv,suv,33.825,7.2,511,22.58,5,18.1576616474756,0,437,0,0,173,96364.8030728633
2025,conv,truck,33.59,8.3,588,19.22,5,21.3319458896982,0,437,0,0,142,17563.8133664415
2025,conv,van,22.95,10.3,480,28.11,5,14.5855567413732,0,437,0,0,286,2377.38736458458
2025,ev,car,38.278,5,377,159.81,621,3.2,79.5,196.65,7500,0,114,3810.55624730181
2025,ev,suv,48.191,4.8,338,130.776,680,4,87.1,196.65,7500,0,162,17860.7172898821
2025,hybrid,car,33.766,8.9,861,47.12,5,8.70118845500849,0.5,437,0,1.5,116,7738.22191451393
2025,hybrid,suv,44.529,7.6,953,44.31,5,9.25299029564432,1.4,437,0,1.5,181,2457.11576588824
2025,hybrid,truck,29.628,10.4,667,50.87,5,8.05976017298997,1.3,437,0,1.5,131,232.906153323913
2025,phev,car,38.16,8,820,46.39,291,5.1,16,275.31,7087,7.5,94,1616.70339808668
2025,phev,suv,33.446,6.7,889,43.85,315,5.3,17.3,275.31,7500,7.5,172,30878.1589826516
2025,phev,truck,36.524,7.7,829,36.64,315,6.5,17.3,275.31,7500,7.5,126,764.52197528435
2026,conv,car,25.72,8.2,560,30.47,5,13.4558582212012,0,437,0,0,117,118178.091219832
2026,conv,suv,33.825,7.2,511,22.84,5,17.9509632224168,0,437,0,0,173,90443.7257738276
2026,conv,truck,33.59,8.3,588,19.44,5,21.0905349794239,0,437,0,0,142,16636.7836788343
2026,conv,van,22.95,10.3,480,28.43,5,14.421385860007,0,437,0,0,286,2254.85279911372
2026,ev,car,51.663,5.5,255,122.764,547,4.1,70,196.65,7500,0,120,4046.54210703779
2026,ev,suv,48.034,4.7,338,130.776,680,3.9,87.1,196.65,7500,0,162,24760.8097795088
2026,hybrid,car,33.754,8.9,861,47.14,5,8.69749681798897,0.5,437,0,1.5,116,7253.72647573533
2026,hybrid,suv,44.496,7.6,953,44.35,5,9.24464487034949,1.4,437,0,1.5,181,2327.38940005171
2026,hybrid,truck,29.609,10.4,667,50.9,5,8.05500982318271,1.3,437,0,1.5,131,219.346189751487
2026,phev,car,38.094,7.9,820,46.67,291,5.1,16,275.31,7087,7.5,94,1555.6136220319
2026,phev,suv,33.805,5.9,763,35.59,487,5.5,26.8,275.31,7500,7.5,175,38122.1426123075
2026,phev,truck,36.456,7.7,829,36.8,315,6.5,17.3,275.31,7500,7.5,126,729.035262689653
2027,conv,car,25.72,8.2,560,30.82,5,13.3030499675535,0,437,0,0,117,109457.696573904
2027,conv,suv,33.825,7.2,511,23.1,5,17.7489177489178,0,437,0,0,173,83490.1526016098
2027,conv,truck,32.82,7.2,555,18.54,5,22.1143473570658,0,437,0,0,142,14124.6560638223
2027,conv,van,22.95,10.3,480,28.76,5,14.2559109874826,0,437,0,0,286,2118.3394974946
2027,ev,car,49.688,5.8,339,138.309,645,3.6,82.6,196.65,7500,0,105,5155.50607841461
2027,ev,suv,47.878,4.7,338,130.776,680,3.8,87.1,196.65,7500,0,162,30444.1798085243
2027,ev,truck,60.576,6,263,73.921,937,6.7,119.9,196.65,7500,0,128,273.847301429957
2027,hybrid,car,33.742,8.9,861,47.14,5,8.69749681798897,0.5,437,0,1.5,116,7194.99209381142
2027,hybrid,suv,44.463,7.6,953,44.36,5,9.24256086564472,1.4,437,0,1.5,181,2178.37565270571
2027,hybrid,truck,29.589,10.4,667,50.91,5,8.05342761736397,1.3,437,0,1.5,131,204.384526820524
2027,phev,car,38.028,7.9,820,46.89,291,5.1,16,275.31,7087,7.5,94,2099.47645560169
2027,phev,suv,33.179,5.7,769,35.9,487,5.3,26.8,275.31,7500,7.5,163,43182.5068732298
2027,phev,truck,34.84,8.6,254,28.59,487,6.8,26.8,275.31,7500,7.5,142,1458.2827953552
2028,conv,car,25.72,8.2,560,31.17,5,13.153673403914,0,437,0,0,117,104264.912798746
2028,conv,suv,33.825,7.2,511,23.36,5,17.5513698630137,0,437,0,0,173,79255.2792517497
2028,conv,truck,32.82,7.2,555,18.75,5,21.8666666666667,0,437,0,0,142,12875.5115880678
2028,conv,van,22.95,10.3,480,29.08,5,14.0990371389271,0,437,0,0,286,2025.28186159042
2028,ev,car,49.536,5.7,339,138.309,645,3.6,82.6,196.65,7500,0,105,6427.52813524114
2028,ev,suv,47.722,4.6,338,130.776,680,3.8,87.1,196.65,7500,0,162,36796.2758894542
2028,ev,truck,60.391,6,263,73.921,937,6.6,119.9,196.65,7500,0,128,280.053589792509
2028,hybrid,car,33.73,8.9,861,47.16,5,8.69380831212892,0.5,437,0,1.5,116,6751.86809661946
2028,hybrid,suv,44.43,7.6,953,44.4,5,9.23423423423423,1.4,437,0,1.5,181,2080.19599611755
2028,hybrid,truck,29.57,10.4,667,50.95,5,8.04710500490677,1.3,437,0,1.5,131,194.167663382999
2028,phev,car,37.963,7.8,820,47.06,291,5.1,16,275.31,7087,7.5,94,2019.22369795059
