year,fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,sales
2015,conv,car,41.85,8.4,628,36.19,5,8.90024868748273,0,437,0,0,268.60222010692
2015,conv,car,33.05,7,486,24.68,5,13.0510534846029,0,437,0,0,667.05726559211
2015,conv,car,34.85,6.9,481,24.43,5,13.1846090871879,0,437,0,0,441.654245998541
2015,conv,car,44.45,6.8,447,22.67,5,14.208204675783,0,437,0,0,220.909512564146
2015,conv,car,46.45,6.2,452,22.97,5,14.0226382237701,0,437,0,0,250.846005613129
2015,conv,car,41.55,6.9,509,25.85,5,12.4603481624758,0,437,0,0,286.639566214897
2015,conv,car,43.25,7.1,476,24.18,5,13.3209263854425,0,437,0,0,199.889529348925
2015,conv,car,47.05,6.8,458,23.26,5,13.847807394669,0,437,0,0,185.364745342271
2015,conv,car,49.05,6.2,454,23.03,5,13.98610508033,0,437,0,0,172.269656084512
2015,conv,car,50.7,7.2,556,24.1,5,13.3651452282158,0,437,0,0,229.290988368011
2015,conv,car,53,7.2,550,23.86,5,13.4995808885163,0,437,0,0,188.372537866167
2015,conv,car,57.8,7.4,677,31.64,5,10.1801517067004,0,437,0,0,151.413122304296
2015,conv,car,60.1,7.4,670,31.33,5,10.2808809447814,0,437,0,0,135.515286245988
2015,conv,car,56.3,6.8,503,21.81,5,14.7684548372306,0,437,0,0,180.159741414254
2015,conv,car,58.6,6.6,498,21.6,5,14.912037037037,0,437,0,0,173.160291394167
2015,conv,car,65.5,5.5,427,18.5,5,17.4108108108108,0,437,0,0,153.335159750347
2015,conv,car,67.8,5.5,423,18.32,5,17.5818777292576,0,437,0,0,140.841600050851
2015,conv,car,77.05,6.8,493,21.35,5,15.0866510538642,0,437,0,0,57.3847040820135
2015,conv,car,80.05,6.8,468,20.3,5,15.8669950738916,0,437,0,0,43.1042843562951
2015,conv,car,88.35,5.5,425,18.41,5,17.4959261271048,0,437,0,0,68.8101266467591
2015,conv,car,91.35,5.5,420,18.22,5,17.6783754116356,0,437,0,0,56.4152376239324
2015,conv,car,74.95,6.8,539,20.5,5,15.7121951219512,0,437,0,0,105.921223695307
2015,conv,car,78.95,7.9,716,29.38,5,10.9632402995235,0,437,0,0,78.6297309940612
2015,conv,car,88.25,5.8,467,17.76,5,18.1362612612613,0,437,0,0,110.209179739891
2015,conv,car,91.25,5.7,463,17.58,5,18.3219567690557,0,437,0,0,91.8750974548276
2015,conv,car,142.15,5.3,436,16.58,5,19.4270205066345,0,437,0,0,67.5033720256826
2015,conv,car,44.05,6.5,373,21.86,5,14.7346752058554,0,437,0,0,147.817604447689
2015,conv,car,45.85,6,370,21.64,5,14.8844731977819,0,437,0,0,159.980435458658
2015,conv,car,62.95,5.4,381,19.33,5,16.6632177961718,0,437,0,0,128.208405630946
2015,conv,car,65.15,5.4,381,19.35,5,16.6459948320413,0,437,0,0,114.906988099405
2015,conv,car,94.55,5.3,458,17.42,5,18.4902411021814,0,437,0,0,97.0458778647097
2015,conv,car,112.85,5.3,458,17.41,5,18.5008615738082,0,437,0,0,49.7480828008784
2015,conv,car,31.85,7.1,487,23.55,5,13.6772823779193,0,437,0,0,680.798240709755
2015,conv,car,33.55,7.1,483,23.32,5,13.8121783876501,0,437,0,0,544.392810809325
2015,conv,car,39.75,6.5,444,21.44,5,15.0233208955224,0,437,0,0,428.176353906317
2015,conv,suv,39.35,7.4,489,22.16,5,14.5351985559567,0,437,0,0,291.708473326143
2015,conv,suv,42.85,9.3,666,32.57,5,9.88946883635247,0,437,0,0,206.823639691967
